roll no | spi_1  |  spi_2  |  cpi  |
240010  |  8.13  |  7.39  |  7.79  | 
240164  |  8.08  |  7.46  |  7.79  | 
240974  |  7.96  |  7.59  |  7.79  | 
240578  |  7.69  |  7.87  |  7.78  | 
240420  |  7.90  |  7.63  |  7.78  | 
240621  |  7.21  |  8.41  |  7.78  | 
240614  |  7.61  |  7.90  |  7.77  | 
240690  |  7.93  |  7.62  |  7.77  | 
240054  |  7.35  |  8.22  |  7.76  | 
240035  |  7.62  |  7.91  |  7.76  | 
240216  |  7.96  |  7.52  |  7.76  | 
240657  |  7.54  |  7.94  |  7.76  | 
241187  |  7.15  |  8.29  |  7.76  | 
240155  |  7.48  |  8.04  |  7.74  | 
240424  |  7.22  |  8.21  |  7.74  | 
240520  |  7.33  |  8.12  |  7.74  | 
240647  |  7.59  |  7.87  |  7.73  | 
240148  |  9.00  |  7.41  |  7.72  | 
240235  |  7.69  |  7.76  |  7.72  | 
240115  |  7.27  |  8.22  |  7.71  | 
241151  |  6.48  |  8.81  |  7.71  | 
240245  |  7.25  |  8.22  |  7.70  | 
240675  |  7.59  |  7.81  |  7.70  | 
240825  |  7.26  |  8.10  |  7.70  | 
240858  |  7.52  |  7.87  |  7.70  | 
241025  |  7.48  |  7.90  |  7.70  | 
241146  |  7.30  |  8.06  |  7.70  | 
240257  |  7.33  |  8.11  |  7.69  | 
240603  |  7.13  |  8.19  |  7.69  | 
240422  |  7.91  |  7.48  |  7.68  | 
240534  |  7.65  |  7.71  |  7.68  | 
240605  |  7.46  |  7.90  |  7.68  | 
240808  |  7.50  |  7.85  |  7.68  | 
240187  |  7.71  |  7.63  |  7.67  | 
240218  |  8.29  |  6.98  |  7.67  | 
240697  |  6.50  |  8.69  |  7.66  | 
240877  |  6.98  |  8.27  |  7.66  | 
240197  |  7.90  |  7.37  |  7.65  | 
240668  |  7.33  |  7.94  |  7.65  | 
240119  |  7.37  |  7.96  |  7.64  | 
240176  |  6.90  |  8.48  |  7.64  | 
240730  |  7.43  |  7.83  |  7.64  | 
240831  |  7.04  |  8.17  |  7.64  | 
241108  |  7.24  |  7.77  |  7.64  | 
240022  |  7.54  |  7.74  |  7.63  | 
240387  |  7.69  |  7.57  |  7.63  | 
240553  |  7.46  |  7.83  |  7.63  | 
240727  |  7.20  |  8.02  |  7.63  | 
240748  |  6.57  |  8.58  |  7.63  | 
240875  |  7.78  |  7.50  |  7.63  | 
240883  |  7.65  |  7.62  |  7.63  | 
240312  |  7.71  |  7.52  |  7.62  | 
240792  |  6.91  |  8.25  |  7.62  | 
241007  |  6.83  |  8.33  |  7.62  | 
240444  |  7.63  |  7.59  |  7.61  | 
240702  |  8.17  |  7.12  |  7.61  | 
240561  |  7.90  |  7.26  |  7.60  | 
240177  |  7.15  |  8.11  |  7.60  | 
240580  |  7.79  |  7.42  |  7.60  | 
240896  |  7.04  |  8.10  |  7.60  | 
240049  |  7.60  |  7.59  |  7.59  | 
240682  |  7.48  |  7.72  |  7.59  | 
240795  |  7.60  |  7.59  |  7.59  | 
240433  |  7.19  |  7.98  |  7.59  | 
240856  |  7.13  |  8.00  |  7.59  | 
240124  |  7.02  |  8.22  |  7.58  | 
240969  |  7.87  |  7.33  |  7.58  | 
240327  |  8.12  |  6.96  |  7.57  | 
240780  |  7.11  |  7.98  |  7.57  | 
241123  |  7.50  |  7.63  |  7.57  | 
240440  |  7.71  |  7.39  |  7.56  | 
240995  |  7.50  |  7.62  |  7.56  | 
240710  |  7.92  |  7.15  |  7.56  | 
240898  |  7.93  |  7.23  |  7.56  | 
241161  |  7.70  |  7.44  |  7.56  | 
240529  |  6.70  |  8.31  |  7.55  | 
240604  |  7.27  |  7.82  |  7.55  | 
240947  |  6.72  |  8.29  |  7.55  | 
240641  |  6.37  |  8.58  |  7.54  | 
240653  |  6.11  |  8.81  |  7.54  | 
240434  |  8.04  |  6.96  |  7.53  | 
240283  |  7.90  |  7.11  |  7.53  | 
240658  |  7.23  |  7.87  |  7.53  | 
240949  |  7.02  |  7.98  |  7.53  | 
240454  |  7.88  |  7.11  |  7.52  | 
240601  |  7.09  |  7.90  |  7.52  | 
240903  |  7.30  |  7.71  |  7.52  | 
240046  |  7.73  |  7.26  |  7.51  | 
240539  |  7.00  |  8.09  |  7.51  | 
240084  |  7.15  |  7.91  |  7.51  | 
240679  |  7.50  |  7.52  |  7.51  | 
240004  |  7.56  |  7.43  |  7.50  | 
240708  |  6.91  |  8.02  |  7.50  | 
240777  |  7.20  |  7.77  |  7.50  | 
240428  |  7.37  |  7.60  |  7.49  | 
240744  |  6.67  |  8.21  |  7.49  | 
240500  |  7.83  |  7.09  |  7.48  | 
240577  |  7.02  |  7.88  |  7.48  | 
240709  |  6.65  |  8.21  |  7.48  | 
240782  |  7.37  |  7.58  |  7.48  | 
240059  |  7.38  |  7.57  |  7.47  | 
