roll no | spi_1  |  spi_2  |  cpi  |
240630  |  7.80  |  8.71  |  8.29  | 
240739  |  8.04  |  8.71  |  8.40  | 
241048  |  8.02  |  8.71  |  8.39  | 
240121  |  8.63  |  8.70  |  8.66  | 
240044  |  9.15  |  8.70  |  8.94  | 
240203  |  8.27  |  8.70  |  8.47  | 
240611  |  8.91  |  8.69  |  8.80  | 
240697  |  6.50  |  8.69  |  7.66  | 
240916  |  7.35  |  8.69  |  8.06  | 
240926  |  7.72  |  8.69  |  8.23  | 
241152  |  7.54  |  8.69  |  8.15  | 
240368  |  8.37  |  8.67  |  8.51  | 
240253  |  8.81  |  8.67  |  8.74  | 
240265  |  7.46  |  8.67  |  8.08  | 
240576  |  8.85  |  8.67  |  8.76  | 
240587  |  8.02  |  8.67  |  8.37  | 
240735  |  9.07  |  8.67  |  8.86  | 
240459  |  8.62  |  8.65  |  8.63  | 
240519  |  8.29  |  8.65  |  8.46  | 
240715  |  8.65  |  8.65  |  8.65  | 
240733  |  8.28  |  8.65  |  8.48  | 
241202  |  7.59  |  8.65  |  8.15  | 
240721  |  8.10  |  8.64  |  8.38  | 
240870  |  8.67  |  8.64  |  8.65  | 
240355  |  8.37  |  8.63  |  8.51  | 
240356  |  8.33  |  8.63  |  8.49  | 
240740  |  8.87  |  8.63  |  8.74  | 
240902  |  8.07  |  8.63  |  8.37  | 
240972  |  7.33  |  8.63  |  8.02  | 
240960  |  8.76  |  8.62  |  8.68  | 
240117  |  9.00  |  8.61  |  8.82  | 
240234  |  8.23  |  8.61  |  8.41  | 
240785  |  8.63  |  8.60  |  8.61  | 
240918  |  7.26  |  8.60  |  7.97  | 
240042  |  7.77  |  8.59  |  8.15  | 
240244  |  7.90  |  8.59  |  8.22  | 
240066  |  7.58  |  8.59  |  8.05  | 
240421  |  8.46  |  8.59  |  8.52  | 
240446  |  7.39  |  8.58  |  8.02  | 
240641  |  6.37  |  8.58  |  7.54  | 
240748  |  6.57  |  8.58  |  7.63  | 
240975  |  7.98  |  8.58  |  8.30  | 
240981  |  9.07  |  8.58  |  8.81  | 
240076  |  7.81  |  8.57  |  8.16  | 
240220  |  8.06  |  8.57  |  8.30  | 
240885  |  8.46  |  8.56  |  8.51  | 
240602  |  8.15  |  8.56  |  8.37  | 
240192  |  8.87  |  8.54  |  8.71  | 
240530  |  8.71  |  8.54  |  8.63  | 
240450  |  8.81  |  8.54  |  8.68  | 
240455  |  8.98  |  8.54  |  8.74  | 
240599  |  7.85  |  8.54  |  8.21  | 
240701  |  7.09  |  8.54  |  7.86  | 
241095  |  9.24  |  8.54  |  8.87  | 
241192  |  8.39  |  8.54  |  8.47  | 
241010  |  9.02  |  8.52  |  8.76  | 
241034  |  8.59  |  8.52  |  8.55  | 
240299  |  8.31  |  8.50  |  8.40  | 
240130  |  8.75  |  8.50  |  8.63  | 
240573  |  8.43  |  8.50  |  8.47  | 
240613  |  8.63  |  8.50  |  8.56  | 
240631  |  8.35  |  8.50  |  8.43  | 
241188  |  7.09  |  8.50  |  7.84  | 
240388  |  8.38  |  8.48  |  8.43  | 
240176  |  6.90  |  8.48  |  7.64  | 
240352  |  7.85  |  8.48  |  8.18  | 
240775  |  7.41  |  8.48  |  7.98  | 
240784  |  8.35  |  8.48  |  8.42  | 
240866  |  7.43  |  8.48  |  7.99  | 
240874  |  8.28  |  8.48  |  8.39  | 
240999  |  8.35  |  8.48  |  8.42  | 
241005  |  7.93  |  8.48  |  8.22  | 
241078  |  9.15  |  8.48  |  8.81  | 
241023  |  8.77  |  8.46  |  8.61  | 
240167  |  8.10  |  8.46  |  8.27  | 
240904  |  7.50  |  8.46  |  8.01  | 
241049  |  7.76  |  8.46  |  8.13  | 
241096  |  7.87  |  8.46  |  8.18  | 
241079  |  7.54  |  8.44  |  8.02  | 
241092  |  6.30  |  8.44  |  7.44  | 
240271  |  7.35  |  8.43  |  7.86  | 
241176  |  0.00  |  8.43  |  8.43  | 
241113  |  7.41  |  8.42  |  7.95  | 
240023  |  8.77  |  8.41  |  8.60  | 
240532  |  8.31  |  8.41  |  8.36  | 
240150  |  7.37  |  8.41  |  7.86  | 
240621  |  7.21  |  8.41  |  7.78  | 
240175  |  7.77  |  8.39  |  8.06  | 
240649  |  7.98  |  8.38  |  8.19  | 
241153  |  7.46  |  8.38  |  7.95  | 
240152  |  8.21  |  8.37  |  8.29  | 
240156  |  8.33  |  8.37  |  8.35  | 
240526  |  7.40  |  8.37  |  7.86  | 
240061  |  8.13  |  8.37  |  8.24  | 
240594  |  7.24  |  8.37  |  7.84  | 
240628  |  7.37  |  8.37  |  7.90  | 
240871  |  8.37  |  8.37  |  8.37  | 
240069  |  8.58  |  8.35  |  8.47  | 
240316  |  8.31  |  8.35  |  8.33  | 
240722  |  8.09  |  8.35  |  8.22  | 
240907  |  8.37  |  8.35  |  8.36  | 
240917  |  7.87  |  8.35  |  8.12  | 
241090  |  7.52  |  8.35  |  7.96  | 
240988  |  8.25  |  8.34  |  8.30  | 
240088  |  7.73  |  8.33  |  8.01  | 
240401  |  8.21  |  8.33  |  8.27  | 
240173  |  8.00  |  8.33  |  8.15  | 
240882  |  8.76  |  8.33  |  8.53  | 
241007  |  6.83  |  8.33  |  7.62  | 
241128  |  8.24  |  8.33  |  8.29  | 
240529  |  6.70  |  8.31  |  7.55  | 
240632  |  8.52  |  8.31  |  8.41  | 
240810  |  8.00  |  8.31  |  8.16  | 
241026  |  8.11  |  8.31  |  8.21  | 
241136  |  7.24  |  8.31  |  7.81  | 
241195  |  7.48  |  8.31  |  7.92  | 
240298  |  7.94  |  8.30  |  8.11  | 
240583  |  7.33  |  8.29  |  7.84  | 
240947  |  6.72  |  8.29  |  7.55  | 
241187  |  7.15  |  8.29  |  7.76  | 
240001  |  8.15  |  8.28  |  8.21  | 
240208  |  8.37  |  8.28  |  8.33  | 
240317  |  8.25  |  8.28  |  8.27  | 
240499  |  7.60  |  8.28  |  7.92  | 
240798  |  9.04  |  8.27  |  8.63  | 
240832  |  6.07  |  8.27  |  7.23  | 
240877  |  6.98  |  8.27  |  7.66  | 
